_id,Id,Expozicia,Rok,Mesiac,Navstevnost,Trzby,Skolaci,Cudzinci,Zdarma
1,1,Banské múzeum v prírode,2019,1,48,132,36,0,7
2,2,Nový zámok,2019,1,298,669,0,52,19
3,3,Starý zámok,2019,1,405,"1576,5",0,90,42
4,4,Kammerhof-baníctvo na Slovensku,2019,1,44,111,0,7,1
5,5,Berggericht-mineralogická expozícia,2019,1,139,354,0,19,11
6,6,Galéria Jozefa Kollára,2019,1,108,101,34,5,22
7,7,Glanzenberg štôlňa,2019,1,0,0,0,0,0
8,8,Michal štôlňa,2019,1,238,"112,5",0,0,12
9,9,Handlová,2019,1,20,24,12,0,2
10,10,Banské múzeum v prírode,2019,2,349,1436,15,144,17
11,11,Nový zámok,2019,2,620,1356,0,112,36
12,12,Starý zámok,2019,2,772,"3293,5",67,134,48
13,13,Kammerhof-baníctvo na Slovensku,2019,2,147,262,10,62,6
14,14,Berggericht-mineralogická expozícia,2019,2,337,744,0,17,38
15,15,Galéria Jozefa Kollára,2019,2,185,"209,5",19,4,99
16,16,Glanzenberg štôlňa,2019,2,0,0,0,0,0
17,17,Michal štôlňa,2019,2,609,282,0,0,45
18,18,Handlová,2019,2,108,"102,9",61,3,9
19,19,Banské múzeum v prírode,2019,3,1746,7895,588,236,108
20,20,Nový zámok,2019,3,1176,2527,74,249,28
21,21,Starý zámok,2019,3,1711,6166,335,642,162
22,22,Kammerhof-baníctvo na Slovensku,2019,3,533,678,171,148,137
23,23,Berggericht-mineralogická expozícia,2019,3,485,926,105,113,38
24,24,Galéria Jozefa Kollára,2019,3,152,198,0,11,71
25,25,Glanzenberg štôlňa,2019,3,0,0,0,0,0
26,26,Michal štôlňa,2019,3,764,358,0,0,48
27,27,Handlová,2019,3,220,"228,1",155,1,16
28,28,Banské múzeum v prírode,2019,4,3700,16098,1474,878,224
29,29,Nový zámok,2019,4,1905,3687,438,310,125
30,30,Starý zámok,2019,4,2419,"9617,5",393,590,148
31,31,Kammerhof-baníctvo na Slovensku,2019,4,683,985,388,368,61
32,32,Berggericht-mineralogická expozícia,2019,4,508,1058,90,35,36
33,33,Galéria Jozefa Kollára,2019,4,559,290,0,4,447
34,34,Glanzenberg štôlňa,2019,4,0,0,0,0,0
35,35,Michal štôlňa,2019,4,1004,494,0,0,16
36,36,Handlová,2019,4,299,289,221,5,15
37,37,Banské múzeum v prírode,2019,5,5805,22598,2773,1248,434
38,38,Nový zámok,2019,5,2683,"5495,5",346,533,157
39,39,Starý zámok,2019,5,3363,"12032,5",636,1174,199
40,40,Kammerhof-baníctvo na Slovensku,2019,5,1049,1826,363,226,91
41,41,Berggericht-mineralogická expozícia,2019,5,737,1290,204,192,97
42,42,Galéria Jozefa Kollára,2019,5,410,571,86,8,99
43,43,Glanzenberg štôlňa,2019,5,287,1588,0,50,0
44,44,Michal štôlňa,2019,5,1154,550,0,0,54
45,45,Handlová,2019,5,128,"120,3",108,1,8
46,46,Banské múzeum v prírode,2019,6,8014,30680,4552,759,648
47,47,Nový zámok,2019,6,3040,"5698,5",769,328,149
48,48,Starý zámok,2019,6,3238,12053,641,742,228
49,49,Kammerhof-baníctvo na Slovensku,2019,6,1404,2012,775,106,131
50,50,Berggericht-mineralogická expozícia,2019,6,1204,1859,643,195,69
51,51,Galéria Jozefa Kollára,2019,6,498,"526,5",137,46,169
52,52,Glanzenberg štôlňa,2019,6,266,1372,0,49,2
53,53,Michal štôlňa,2019,6,1245,"605,5",0,0,34
54,54,Handlová,2019,6,87,"85,5",27,2,11
55,55,Banské múzeum v prírode,2019,7,9343,45455,1000,619,800
56,56,Nový zámok,2019,7,5009,"11056,5",46,579,244
57,57,Starý zámok,2019,7,4420,18922,0,832,219
58,58,Kammerhof-baníctvo na Slovensku,2019,7,1644,3306,110,177,138
59,59,Berggericht-mineralogická expozícia,2019,7,1118,2494,39,143,76
60,60,Galéria Jozefa Kollára,2019,7,623,"1026,5",0,5,195
61,61,Glanzenberg štôlňa,2019,7,522,2722,0,28,4
62,62,Michal štôlňa,2019,7,3018,1427,0,0,164
63,63,Handlová,2019,7,258,359,156,17,22
64,64,Banské múzeum v prírode,2019,8,10869,54404,659,1032,995
65,65,Nový zámok,2019,8,6124,"13578,5",14,805,298
66,66,Starý zámok,2019,8,5239,22792,10,1017,288
67,67,Kammerhof-baníctvo na Slovensku,2019,8,1720,2491,0,177,137
68,68,Berggericht-mineralogická expozícia,2019,8,1398,3140,0,237,101
69,69,Galéria Jozefa Kollára,2019,8,862,1287,0,26,377
70,70,Glanzenberg štôlňa,2019,8,543,2808,0,82,3
71,71,Michal štôlňa,2019,8,3559,1656,0,0,247
72,72,Handlová,2019,8,455,"533,9",247,7,41
73,73,Banské múzeum v prírode,2019,9,3916,20131,949,955,227
74,74,Nový zámok,2019,9,2471,"5275,5",94,713,154
75,75,Starý zámok,2019,9,2952,"11889,5",95,1018,65
76,76,Kammerhof-baníctvo na Slovensku,2019,9,557,817,0,189,44
77,77,Berggericht-mineralogická expozícia,2019,9,724,1331,187,153,34
78,78,Galéria Jozefa Kollára,2019,9,467,"520,5",53,1,193
79,79,Glanzenberg štôlňa,2019,9,290,1482,0,61,11
80,80,Michal štôlňa,2019,9,1180,563,0,0,54
81,81,Handlová,2019,9,30,"42,5",3,2,2
82,82,Banské múzeum v prírode,2019,10,4487,20436,1482,710,305
83,83,Nový zámok,2019,10,2066,"3803,5",549,301,90
84,84,Starý zámok,2019,10,2675,10222,528,396,126
85,85,Kammerhof-baníctvo na Slovensku,2019,10,0,0,0,0,0
86,86,Berggericht-mineralogická expozícia,2019,10,858,1274,441,117,61
87,87,Galéria Jozefa Kollára,2019,10,581,"441,5",36,69,270
88,88,Glanzenberg štôlňa,2019,10,233,1332,0,6,2
89,89,Michal štôlňa,2019,10,1251,602,0,0,47
90,90,Handlová,2019,10,117,"116,6",46,6,7
91,91,Banské múzeum v prírode,2019,11,1533,8406,290,308,140
92,92,Nový zámok,2019,11,1231,2347,250,127,85
93,93,Starý zámok,2019,11,1452,"6101,5",35,270,53
94,94,Kammerhof-baníctvo na Slovensku,2019,11,0,0,0,0,0
95,95,Berggericht-mineralogická expozícia,2019,11,532,905,14,74,48
96,96,Galéria Jozefa Kollára,2019,11,419,"592,5",54,5,176
97,97,Glanzenberg štôlňa,2019,11,183,1030,0,12,0
98,98,Michal štôlňa,2019,11,752,"364,5",0,0,23
99,99,Handlová,2019,11,65,"71,6",19,0,7
100,100,Banské múzeum v prírode,2019,12,615,3288,103,106,40
101,101,Nový zámok,2019,12,379,"853,5",0,53,26
102,102,Starý zámok,2019,12,835,2875,0,152,85
103,103,Kammerhof-baníctvo na Slovensku,2019,12,0,0,0,0,0
104,104,Berggericht-mineralogická expozícia,2019,12,211,419,20,0,14
105,105,Galéria Jozefa Kollára,2019,12,327,131,0,4,248
106,106,Glanzenberg štôlňa,2019,12,15,85,0,0,0
107,107,Michal štôlňa,2019,12,523,243,0,0,37
108,108,Handlová,2019,12,289,278,185,0,22
